#Query	KO ID
Glyma.01G035600	K18810
Glyma.01G036000	K11820
Glyma.01G037500	K14492
Glyma.01G038800	K04382
Glyma.01G040000	K00799
Glyma.01G040200	K00799
Glyma.01G040600	K09510
Glyma.01G040700	K03671
Glyma.01G041100	K03671
Glyma.01G041200	K03671
Glyma.01G041700	K09338
Glyma.01G042100	K14638
Glyma.01G042700	K01728
Glyma.01G042900	K15196
Glyma.01G043600	K10573
Glyma.01G044100	K04733
Glyma.01G044200	K15275
Glyma.01G044300	K09422
Glyma.01G044600	K09338
Glyma.01G045400	K17279
Glyma.01G046000	K13076
Glyma.01G046400	K02608
Glyma.01G046500	K04713
Glyma.01G047000	K02915
Glyma.01G047100	K01510
Glyma.01G048200	K01166
Glyma.01G048400	K01166
Glyma.01G048500	K14413
Glyma.01G049600	K09422
Glyma.01G049900	K15032
Glyma.01G050900	K08901
Glyma.01G051700	K09422
Glyma.01G052200	K17402
Glyma.01G052800	K08493
Glyma.01G053100	K11593
Glyma.01G053700	K03681
Glyma.01G054000	K03263
Glyma.01G054100	K02180
Glyma.01G054500	K01850
Glyma.01G055200	K01183
Glyma.01G055500	K06694
Glyma.01G057100	K00012
Glyma.01G057200	K01188
Glyma.01G058000	K06630
Glyma.01G058600	K02704
Glyma.01G058600	K02635
Glyma.01G060600	K09273
Glyma.01G060700	K12818
Glyma.01G060900	K18635
Glyma.01G061500	K08838
Glyma.01G062000	K01057
Glyma.01G062300	K09564
Glyma.01G062400	K00276
Glyma.01G063000	K13379
Glyma.01G064100	K09264
Glyma.01G064200	K09264
Glyma.01G064800	K11423
Glyma.01G065400	K01285
Glyma.01G066000	K01051
Glyma.01G066100	K01051
Glyma.01G066300	K01051
Glyma.01G067800	K09422
Glyma.01G067900	K14298
Glyma.01G068000	K09487
Glyma.01G068100	K01051
Glyma.01G069500	K04077
Glyma.01G070200	K00430
Glyma.01G070700	K01652
Glyma.01G071300	K01611
Glyma.01G073200	K17912
Glyma.01G074000	K10696
Glyma.01G074600	K08237
Glyma.01G074700	K14306
Glyma.01G076000	K03043
Glyma.01G076000	K03046
Glyma.01G077200	K10846
Glyma.01G077400	K05285
Glyma.01G078200	K14488
Glyma.01G080200	K01527
Glyma.01G080300	K07904
Glyma.01G081300	K15925
Glyma.01G081500	K10839
Glyma.01G081900	K00627
Glyma.01G082000	K01246
Glyma.01G082200	K13832
Glyma.01G082700	K08827
Glyma.01G083100	K06695
Glyma.01G084200	K14431
Glyma.01G084700	K06891
Glyma.01G086000	K14863
Glyma.01G086201	K15168
Glyma.01G086600	K15168
Glyma.01G086900	K10525
Glyma.01G087500	K09287
Glyma.01G089100	K13115
Glyma.01G089900	K18749
Glyma.01G090900	K03574
Glyma.01G091000	K01595
Glyma.01G091400	K00660
Glyma.01G092100	K17808
Glyma.01G092400	K11991
Glyma.01G092900	K01530
Glyma.01G093200	K07023
Glyma.01G094000	K13448
Glyma.01G094200	K03260
Glyma.01G095900	K02724
Glyma.01G096300	K12493
Glyma.01G096600	K13422
Glyma.01G097000	K14496
Glyma.01G097100	K15109
Glyma.01G097200	K15193
Glyma.01G097400	K01610
Glyma.01G097500	K05543
Glyma.01G098000	K14484
Glyma.01G098400	K04733
Glyma.01G099100	K18932
Glyma.01G099600	K08269
Glyma.01G099700	K00761
Glyma.01G099800	K12657
Glyma.01G100000	K18813
Glyma.01G100100	K18633
Glyma.01G103100	K00167
Glyma.01G103200	K09562
Glyma.01G103500	K14486
Glyma.01G104100	K02552
Glyma.01G105000	K14638
Glyma.01G105500	K02726
Glyma.01G106000	K00799
Glyma.01G106100	K00799
Glyma.01G106800	K13993
Glyma.01G107500	K09422
Glyma.01G108200	K05909
Glyma.01G109300	K07375
Glyma.01G110400	K15103
Glyma.01G110900	K11863
Glyma.01G111200	K13917
Glyma.01G111400	K01051
Glyma.01G112500	K14638
Glyma.01G112600	K05909
Glyma.01G113000	K06119
Glyma.01G113200	K13508
Glyma.01G113400	K09872
Glyma.01G114000	K13946
Glyma.01G114800	K19033
Glyma.01G114900	K01988
Glyma.01G115900	K08915
Glyma.01G116000	K10802
Glyma.01G116100	K08681
Glyma.01G116300	K00001
Glyma.01G116700	K00001
Glyma.01G117800	K10863
Glyma.01G118000	K01568
Glyma.01G119300	K15306
Glyma.01G119500	K01490
Glyma.01G120400	K10257
Glyma.01G121300	K09510
Glyma.01G121400	K06100
Glyma.01G122100	K14617
Glyma.01G122800	K07300
Glyma.01G123100	K06910
Glyma.01G123400	K03320
Glyma.01G124300	K02987
Glyma.01G124500	K00522
Glyma.01G124700	K14496
Glyma.01G124900	K02728
Glyma.01G125100	K02961
Glyma.01G127800	K14018
Glyma.01G128100	K13424
Glyma.01G128200	K10268
Glyma.01G128300	K14685
Glyma.01G129400	K00827
Glyma.01G130500	K00430
Glyma.01G130800	K00430
Glyma.01G131100	K14455
Glyma.01G131400	K12382
Glyma.01G131500	K07198
Glyma.01G132000	K08867
Glyma.01G132200	K03327
Glyma.01G133400	K09481
Glyma.01G134600	K09833
Glyma.01G136100	K09272
Glyma.01G136900	K03879
Glyma.01G137300	K08495
Glyma.01G137500	K14488
Glyma.01G137700	K01051
Glyma.01G138000	K01051
Glyma.01G138100	K01051
Glyma.01G138300	K01265
Glyma.01G139500	K08679
Glyma.01G139600	K00800
Glyma.01G139633	K02493
Glyma.01G140200	K01476
Glyma.01G140600	K06110
Glyma.01G142300	K18932
Glyma.01G142600	K15292
Glyma.01G142700	K14780
Glyma.01G142800	K01800
Glyma.01G143500	K09419
Glyma.01G144800	K12734
Glyma.01G145000	K03952
Glyma.01G146000	K08235
Glyma.01G146300	K01759
Glyma.01G146500	K10664
Glyma.01G146900	K13220
Glyma.01G147300	K11420
Glyma.01G147600	K09286
Glyma.01G148500	K06685
Glyma.01G148700	K11426
Glyma.01G149000	K08829
Glyma.01G149700	K01358
Glyma.01G152900	K17756
Glyma.01G153100	K18749
Glyma.01G153200	K12400
Glyma.01G153400	K02986
Glyma.01G153500	K02705
Glyma.01G153500	K02706
Glyma.01G154900	K09840
Glyma.01G156000	K14457
Glyma.01G156600	K00384
Glyma.01G156700	K00021
Glyma.01G157100	K15102
Glyma.01G157500	K08472
Glyma.01G157700	K07088
Glyma.01G157800	K08852
Glyma.01G157900	K05387
Glyma.01G158000	K14803
Glyma.01G158200	K08832
Glyma.01G158400	K08739
Glyma.01G158500	K03858
Glyma.01G158800	K06928
Glyma.01G159500	K04523
Glyma.01G159700	K05868
Glyma.01G159800	K00831
Glyma.01G160000	K00640
Glyma.01G160300	K00558
Glyma.01G161700	K08999
Glyma.01G162000	K12897
Glyma.01G162100	K01115
Glyma.01G162200	K03006
Glyma.01G162700	K00472
Glyma.01G162800	K01681
Glyma.01G163100	K00430
Glyma.01G163300	K18757
Glyma.01G163900	K03094
Glyma.01G164100	K18468
Glyma.01G164200	K04392
Glyma.01G164300	K01735
Glyma.01G164700	K00434
Glyma.01G165000	K01191
Glyma.01G165100	K03029
Glyma.01G165200	K08472
Glyma.01G166100	K13412
Glyma.01G166200	K00475
Glyma.01G166400	K08874
Glyma.01G166600	K11341
Glyma.01G167000	K14488
Glyma.01G167300	K02938
Glyma.01G167500	K01711
Glyma.01G168000	K02155
Glyma.01G168200	K11498
Glyma.01G169200	K09755
Glyma.01G169600	K09264
Glyma.01G169700	K10688
Glyma.01G169800	K18204
Glyma.01G170100	K14191
Glyma.01G170300	K03671
Glyma.01G170900	K03676
Glyma.01G171000	K13457
Glyma.01G171100	K00430
Glyma.01G171300	K08900
Glyma.01G171400	K08900
Glyma.01G171800	K07252
Glyma.01G171900	K19355
Glyma.01G172400	K01507
Glyma.01G172500	K10756
Glyma.01G173050	K02201
Glyma.01G173100	K08486
Glyma.01G173300	K01792
Glyma.01G173500	K05909
Glyma.01G173600	K05909
Glyma.01G174000	K17681
Glyma.01G174900	K03124
Glyma.01G175100	K11093
Glyma.01G175300	K19001
Glyma.01G175500	K09587
Glyma.01G175600	K00234
Glyma.01G176300	K07943
Glyma.01G176400	K14544
Glyma.01G176800	K01866
Glyma.01G177300	K17279
Glyma.01G177400	K09060
Glyma.01G177500	K09338
Glyma.01G177600	K03809
Glyma.01G177700	K01262
Glyma.01G177900	K12356
Glyma.01G178000	K14503
Glyma.01G178200	K10579
Glyma.01G178600	K10666
Glyma.01G179300	K04646
Glyma.01G180800	K02716
Glyma.01G181200	K11291
Glyma.01G181500	K14307
Glyma.01G183500	K14498
Glyma.01G183600	K15223
Glyma.01G184200	K00430
Glyma.01G185300	K01265
Glyma.01G185600	K13448
Glyma.01G185700	K03257
Glyma.01G185800	K09419
Glyma.01G186000	K13168
Glyma.01G186400	K14411
Glyma.01G187400	K02320
Glyma.01G187500	K00763
Glyma.01G187700	K00588
Glyma.01G188000	K11430
Glyma.01G188400	K09284
Glyma.01G188600	K09286
Glyma.01G188900	K10577
Glyma.01G189500	K01110
Glyma.01G189600	K10268
Glyma.01G189700	K14505
Glyma.01G189800	K07937
Glyma.01G190000	K10436
Glyma.01G190100	K09422
Glyma.01G190600	K14487
Glyma.01G190700	K12347
Glyma.01G191700	K00472
Glyma.01G192100	K03097
Glyma.01G192500	K00430
Glyma.01G193400	K18811
Glyma.01G193500	K11492
Glyma.01G193600	K01537
Glyma.01G193700	K15040
Glyma.01G193800	K02898
Glyma.01G194100	K10598
Glyma.01G194500	K07955
Glyma.01G194600	K09422
Glyma.01G194700	K14682
Glyma.01G194900	K07297
Glyma.01G195900	K09285
Glyma.01G196100	K01762
Glyma.01G196200	K09422
Glyma.01G196300	K00826
Glyma.01G196600	K09338
Glyma.01G196800	K08235
Glyma.01G197100	K04487
Glyma.01G197500	K07374
Glyma.01G199000	K11826
Glyma.01G199700	K02437
Glyma.01G199800	K04123
Glyma.01G200100	K14638
Glyma.01G200200	K00873
Glyma.01G200400	K00430
Glyma.01G201000	K02867
Glyma.01G202400	K07893
Glyma.01G202500	K07893
Glyma.01G202600	K14326
Glyma.01G202700	K11420
Glyma.01G203100	K01338
Glyma.01G203300	K19042
Glyma.01G203400	K01177
Glyma.01G203600	K02921
Glyma.01G203800	K03115
Glyma.01G204000	K14845
Glyma.01G204200	K14498
Glyma.01G204400	K13464
Glyma.01G204600	K00261
Glyma.01G204900	K11420
Glyma.01G205400	K02884
Glyma.01G206200	K05609
Glyma.01G206600	K09286
Glyma.01G207200	K01074
Glyma.01G207300	K09338
Glyma.01G207400	K16278
Glyma.01G207500	K00232
Glyma.01G207600	K09422
Glyma.01G207700	K02877
Glyma.01G207800	K01613
Glyma.01G208000	K01433
Glyma.01G208100	K01869
Glyma.01G208200	K09873
Glyma.01G209400	K02983
Glyma.01G209800	K09531
Glyma.01G210200	K08341
Glyma.01G210400	K00016
Glyma.01G210500	K14638
Glyma.01G210800	K00759
Glyma.01G211000	K01193
Glyma.01G211200	K09553
Glyma.01G211500	K09422
Glyma.01G211700	K13448
Glyma.01G212200	K15292
Glyma.01G213000	K03327
Glyma.01G213400	K03453
Glyma.01G213700	K14270
Glyma.01G214200	K05277
Glyma.01G214500	K03364
Glyma.01G215100	K01115
Glyma.01G215400	K12451
Glyma.01G215500	K01641
Glyma.01G215700	K16250
Glyma.01G215800	K14295
Glyma.01G216600	K03327
Glyma.01G217400	K09419
Glyma.01G217900	K03137
Glyma.01G218600	K15015
Glyma.01G218900	K05765
Glyma.01G219100	K17686
Glyma.01G219400	K00432
Glyma.01G219700	K07447
Glyma.01G219800	K11446
Glyma.01G219900	K01919
Glyma.01G220400	K09597
Glyma.01G220600	K09872
Glyma.01G221300	K16281
Glyma.01G221900	K18635
Glyma.01G222000	K04371
Glyma.01G222200	K09422
Glyma.01G222300	K13425
Glyma.01G222400	K12795
Glyma.01G222500	K04706
Glyma.01G222700	K13447
Glyma.01G223200	K13412
Glyma.01G223900	K01792
Glyma.01G224200	K16240
Glyma.01G224300	K12869
Glyma.01G224400	K14684
Glyma.01G224700	K14299
Glyma.01G224900	K09422
Glyma.01G225100	K14497
Glyma.01G225200	K01897
Glyma.01G225700	K11979
Glyma.01G225800	K01784
Glyma.01G226700	K03404
Glyma.01G226800	K06963
Glyma.01G226900	K00844
Glyma.01G227000	K12392
Glyma.01G227100	K09527
Glyma.01G227300	K12876
Glyma.01G227400	K01749
Glyma.01G227700	K03678
Glyma.01G228100	K04683
Glyma.01G228200	K15198
Glyma.01G228300	K18735
Glyma.01G228400	K11352
Glyma.01G228500	K10601
Glyma.01G228700	K00660
Glyma.01G228900	K14290
Glyma.01G229000	K07977
Glyma.01G229400	K12811
Glyma.01G229600	K03363
Glyma.01G229700	K12843
Glyma.01G230700	K13210
Glyma.01G230900	K08738
Glyma.01G231400	K14826
Glyma.01G231700	K10571
Glyma.01G232400	K01904
Glyma.01G232951	K03026
Glyma.01G233000	K09419
Glyma.01G233400	K09422
Glyma.01G233700	K11778
Glyma.01G235200	K18422
Glyma.01G235600	K05894
Glyma.01G235700	K17675
Glyma.01G236600	K02984
Glyma.01G237600	K14800
Glyma.01G238000	K02639
Glyma.01G238400	K03787
Glyma.01G238600	K09489
Glyma.01G239000	K05016
Glyma.01G239600	K13258
Glyma.01G239700	K01090
Glyma.01G240000	K02957
Glyma.01G240100	K09338
Glyma.01G240300	K01051
Glyma.01G241300	K07203
Glyma.01G242000	K16075
Glyma.01G242902	K02980
Glyma.01G243600	K15923
Glyma.01G243900	K03515
Glyma.01G244400	K16573
Glyma.01G244700	K10875
Glyma.01G244900	K06972
Glyma.01G245100	K06067
Glyma.01G245200	K12600
Glyma.02G000100	K15199
Glyma.02G000200	K03262
Glyma.02G000500	K14484
Glyma.02G001500	K15397
Glyma.02G002000	K12502
Glyma.02G002100	K13448
Glyma.02G002300	K02908
Glyma.02G002500	K11593
Glyma.02G002800	K02936
Glyma.02G003100	K14766
Glyma.02G003200	K08790
Glyma.02G003300	K03942
Glyma.02G003400	K14638
Glyma.02G004100	K02875
Glyma.02G005500	K00025
Glyma.02G005600	K09422
Glyma.02G005700	K12119
Glyma.02G005800	K08176
Glyma.02G006000	K06269
Glyma.02G006200	K14516
Glyma.02G006500	K08869
Glyma.02G006800	K09422
Glyma.02G007300	K14484
Glyma.02G007700	K03070
Glyma.02G008000	K05658
Glyma.02G008300	K01051
Glyma.02G008400	K01051
Glyma.02G008500	K13436
Glyma.02G008800	K08341
Glyma.02G008900	K00430
Glyma.02G009100	K14803
Glyma.02G009200	K03083
Glyma.02G009600	K07977
Glyma.02G009600	K07937
Glyma.02G009800	K09422
Glyma.02G010100	K04125
Glyma.02G010300	K01897
Glyma.02G010500	K12820
Glyma.02G010600	K13508
Glyma.02G011800	K01358
Glyma.02G012100	K11430
Glyma.02G012900	K11797
Glyma.02G013500	K10728
Glyma.02G013600	K02729
Glyma.02G013800	K09517
Glyma.02G013900	K09422
Glyma.02G014000	K09584
Glyma.02G014200	K01937
Glyma.02G015100	K11275
Glyma.02G015500	K10406
Glyma.02G015700	K01679
Glyma.02G015800	K01679
Glyma.02G015900	K02885
Glyma.02G016000	K02885
Glyma.02G016100	K09286
Glyma.02G016300	K01213
Glyma.02G016500	K01051
Glyma.02G016600	K01051
Glyma.02G017400	K16571
Glyma.02G017800	K02891
Glyma.02G018200	K18170
Glyma.02G018700	K01188
Glyma.02G019100	K09338
Glyma.02G019300	K09422
Glyma.02G019400	K15275
Glyma.02G019500	K04733
Glyma.02G020000	K10573
Glyma.02G020600	K01728
Glyma.02G022200	K14638
Glyma.02G023000	K03671
Glyma.02G023100	K03671
Glyma.02G023400	K03671
Glyma.02G023500	K09510
Glyma.02G024600	K00799
Glyma.02G024800	K00799
Glyma.02G025900	K04382
Glyma.02G026700	K11644
Glyma.02G026800	K00161
Glyma.02G027400	K14492
Glyma.02G029900	K11820
Glyma.02G030200	K18810
Glyma.02G030900	K14424
Glyma.02G031000	K14611
Glyma.02G032200	K04733
Glyma.02G032800	K01868
Glyma.02G033300	K12391
Glyma.02G033500	K16055
Glyma.02G033900	K00797
Glyma.02G034000	K00128
Glyma.02G034300	K12822
Glyma.02G034800	K07466
Glyma.02G034900	K07466
Glyma.02G035000	K01673
Glyma.02G035100	K11866
Glyma.02G035600	K07977
Glyma.02G035600	K07937
Glyma.02G035800	K19042
Glyma.02G035900	K03007
Glyma.02G036000	K08770
Glyma.02G036000	K02977
Glyma.02G036200	K12272
Glyma.02G036300	K01648
Glyma.02G037000	K03183
Glyma.02G037300	K01213
Glyma.02G037600	K16903
Glyma.02G037700	K12393
Glyma.02G038100	K14272
Glyma.02G038500	K00276
Glyma.02G038601	K03327
Glyma.02G038700	K02900
Glyma.02G039500	K03327
Glyma.02G040500	K18810
Glyma.02G040700	K15104
Glyma.02G040900	K11855
Glyma.02G041700	K04523
Glyma.02G041900	K00831
Glyma.02G042000	K00640
Glyma.02G042100	K00030
Glyma.02G042500	K01183
Glyma.02G043700	K03320
Glyma.02G044100	K00472
Glyma.02G044200	K00472
Glyma.02G045400	K18757
Glyma.02G045700	K03094
Glyma.02G046100	K04392
Glyma.02G046400	K02731
Glyma.02G046800	K01191
Glyma.02G046900	K03029
Glyma.02G047300	K18826
Glyma.02G047500	K09250
Glyma.02G047600	K02641
Glyma.02G047800	K02987
Glyma.02G048200	K10772
Glyma.02G048300	K13412
Glyma.02G048400	K00475
Glyma.02G048600	K00475
Glyma.02G049200	K14488
Glyma.02G049300	K02938
Glyma.02G049400	K07304
Glyma.02G049500	K09578
Glyma.02G050200	K02155
Glyma.02G050400	K11498
Glyma.02G051400	K11674
Glyma.02G051500	K00128
Glyma.02G051600	K12637
Glyma.02G052400	K15115
Glyma.02G052600	K02935
Glyma.02G052700	K00430
Glyma.02G053600	K08900
Glyma.02G053900	K08241
Glyma.02G054200	K08241
Glyma.02G054500	K03595
Glyma.02G055400	K03357
Glyma.02G056200	K08145
Glyma.02G056300	K08145
Glyma.02G056700	K06287
Glyma.02G056900	K12399
Glyma.02G057400	K00234
Glyma.02G057500	K09587
Glyma.02G058800	K09060
Glyma.02G058900	K09338
Glyma.02G059000	K13789
Glyma.02G059600	K13448
Glyma.02G059800	K02144
Glyma.02G061100	K02716
Glyma.02G063900	K08472
Glyma.02G064100	K01166
Glyma.02G064200	K01166
Glyma.02G064300	K01166
Glyma.02G064400	K01166
Glyma.02G064700	K08907
Glyma.02G064800	K16675
Glyma.02G064900	K03105
Glyma.02G065100	K07195
Glyma.02G065400	K00654
Glyma.02G065500	K02148
Glyma.02G065600	K03512
Glyma.02G066100	K00928
Glyma.02G066400	K00411
Glyma.02G066500	K00411
Glyma.02G067100	K14684
Glyma.02G067300	K02978
Glyma.02G067400	K02978
Glyma.02G067500	K07766
Glyma.02G067600	K09286
Glyma.02G068400	K18401
Glyma.02G068500	K03265
Glyma.02G068600	K18401
Glyma.02G068900	K08235
Glyma.02G069100	K13065
Glyma.02G069400	K14502
Glyma.02G069500	K16223
Glyma.02G069700	K08486
Glyma.02G069800	K09875
Glyma.02G069900	K14641
Glyma.02G070100	K12589
Glyma.02G070300	K10418
Glyma.02G070800	K03834
Glyma.02G071200	K11982
Glyma.02G071300	K12580
Glyma.02G071900	K09500
Glyma.02G072200	K00261
Glyma.02G072700	K03259
Glyma.02G073000	K00891
Glyma.02G073100	K13103
Glyma.02G073200	K14412
Glyma.02G073600	K09872
Glyma.02G073700	K09872
Glyma.02G074100	K12613
Glyma.02G074200	K00383
Glyma.02G075000	K15378
Glyma.02G075100	K15378
Glyma.02G075300	K03327
Glyma.02G076000	K18532
Glyma.02G076100	K13418
Glyma.02G076200	K13348
Glyma.02G076600	K13993
Glyma.02G077100	K15730
Glyma.02G077400	K13126
Glyma.02G078000	K02952
Glyma.02G078500	K14156
Glyma.02G078600	K11168
Glyma.02G079000	K02964
Glyma.02G079900	K16675
Glyma.02G080100	K17805
Glyma.02G080500	K14948
Glyma.02G080600	K14855
Glyma.02G080900	K10999
Glyma.02G081000	K05841
Glyma.02G082200	K10844
Glyma.02G082300	K12622
Glyma.02G082600	K13104
Glyma.02G083200	K07437
Glyma.02G084300	K15113
Glyma.02G084600	K07766
Glyma.02G085000	K15305
Glyma.02G085100	K02535
Glyma.02G085300	K02981
Glyma.02G085400	K13148
Glyma.02G085600	K03283
Glyma.02G085900	K14491
Glyma.02G086100	K11699
Glyma.02G086200	K16055
Glyma.02G087000	K14489
Glyma.02G087400	K09284
Glyma.02G087700	K04564
Glyma.02G087900	K01761
Glyma.02G088400	K15382
Glyma.02G089900	K03327
Glyma.02G090000	K03327
Glyma.02G090100	K03327
Glyma.02G090800	K03262
Glyma.02G091200	K01358
Glyma.02G091300	K01889
Glyma.02G091700	K00729
Glyma.02G091900	K10355
Glyma.02G092400	K03131
Glyma.02G093000	K11713
Glyma.02G093200	K03283
Glyma.02G093500	K01115
Glyma.02G093700	K12881
Glyma.02G094100	K07901
Glyma.02G094300	K00164
Glyma.02G094700	K09873
Glyma.02G094800	K05658
Glyma.02G094900	K02717
Glyma.02G095000	K02893
Glyma.02G095200	K12373
Glyma.02G095500	K18059
Glyma.02G096000	K11087
Glyma.02G096300	K03676
Glyma.02G096800	K00036
Glyma.02G097200	K01634
Glyma.02G097300	K03247
Glyma.02G097600	K03456
Glyma.02G097900	K14431
Glyma.02G098100	K06891
Glyma.02G098300	K15168
Glyma.02G099200	K10525
Glyma.02G099300	K01265
Glyma.02G099500	K09287
Glyma.02G100600	K00748
Glyma.02G100900	K13115
Glyma.02G101000	K01551
Glyma.02G101300	K08360
Glyma.02G101500	K18749
Glyma.02G101700	K18749
Glyma.02G102400	K03671
Glyma.02G103500	K00588
Glyma.02G103600	K02960
Glyma.02G103800	K10661
Glyma.02G103900	K13126
Glyma.02G104300	K14595
Glyma.02G105800	K17279
Glyma.02G106300	K13076
Glyma.02G106500	K03869
Glyma.02G106600	K02608
Glyma.02G106700	K04713
Glyma.02G107100	K02915
Glyma.02G107700	K01510
Glyma.02G107900	K01166
Glyma.02G108000	K01166
Glyma.02G108100	K14413
Glyma.02G108700	K02183
Glyma.02G108800	K09422
Glyma.02G108900	K15032
Glyma.02G110000	K09422
Glyma.02G110100	K09422
Glyma.02G110200	K09422
Glyma.02G110400	K17402
Glyma.02G111400	K08493
Glyma.02G111600	K11593
Glyma.02G112000	K03681
Glyma.02G112400	K03263
Glyma.02G112500	K02180
Glyma.02G113100	K01850
Glyma.02G113200	K18134
Glyma.02G113600	K01183
Glyma.02G113900	K06694
Glyma.02G114000	K14820
Glyma.02G114400	K07964
Glyma.02G114600	K07964
Glyma.02G115100	K18211
Glyma.02G115400	K00012
Glyma.02G115900	K06630
Glyma.02G116900	K11147
Glyma.02G117100	K16075
Glyma.02G119000	K12818
Glyma.02G119200	K18635
Glyma.02G120200	K01057
Glyma.02G120400	K13941
Glyma.02G120500	K09564
Glyma.02G120600	K00276
Glyma.02G120700	K12640
Glyma.02G120900	K13379
Glyma.02G121500	K09264
Glyma.02G121600	K09264
Glyma.02G123800	K01246
Glyma.02G124300	K09422
Glyma.02G124400	K14298
Glyma.02G124500	K09487
Glyma.02G124800	K01051
Glyma.02G125600	K14487
Glyma.02G126000	K14709
Glyma.02G126300	K04077
Glyma.02G126800	K04710
Glyma.02G127300	K00430
Glyma.02G128000	K01611
Glyma.02G128300	K00993
Glyma.02G129200	K07023
Glyma.02G129500	K01530
Glyma.02G129800	K11991
Glyma.02G130100	K17808
Glyma.02G130400	K00660
Glyma.02G131500	K01969
Glyma.02G131600	K03152
Glyma.02G131700	K14432
Glyma.02G131900	K00753
Glyma.02G132100	K00366
Glyma.02G132400	K04710
Glyma.02G133000	K13448
Glyma.02G133400	K17906
Glyma.02G133500	K07119
Glyma.02G134800	K05864
Glyma.02G135100	K00430
Glyma.02G135200	K00430
Glyma.02G135300	K15191
Glyma.02G135500	K14498
Glyma.02G135700	K10400
Glyma.02G136800	K17925
Glyma.02G137100	K14767
Glyma.02G137200	K15026
Glyma.02G138100	K03921
Glyma.02G138400	K01738
Glyma.02G138800	K14512
Glyma.02G139600	K17361
Glyma.02G139900	K12741
Glyma.02G140500	K09874
Glyma.02G140900	K11275
Glyma.02G141101	K03109
Glyma.02G141500	K16277
Glyma.02G141600	K13648
Glyma.02G141700	K02721
Glyma.02G141800	K00383
Glyma.02G142500	K14484
Glyma.02G142600	K14484
Glyma.02G143200	K11251
Glyma.02G143300	K17911
Glyma.02G143600	K03320
Glyma.02G143700	K12502
Glyma.02G143800	K02183
Glyma.02G144700	K06890
Glyma.02G145000	K08857
Glyma.02G145100	K17471
Glyma.02G145300	K01968
Glyma.02G145800	K02895
Glyma.02G146800	K14963
Glyma.02G147000	K02838
Glyma.02G147200	K14319
Glyma.02G148600	K10760
Glyma.02G149100	K00432
Glyma.02G149600	K10523
Glyma.02G149800	K15688
Glyma.02G150800	K14490
Glyma.02G151100	K14493
Glyma.02G151400	K01090
Glyma.02G151500	K14549
Glyma.02G151700	K00430
Glyma.02G152000	K13207
Glyma.02G152200	K11462
Glyma.02G152300	K11095
